#Sample	LI-ITS-18BFF2	LI-ITS-21BFF2	LI-ITS-31BFF	LI-ITS-52BFFX	LI-ITS-54BFF	LI-ITS-56BFF	LI-ITS-6BFF1	LI-ITS-7BFF2	LI-ITS-DBFF1	LI-ITS-R6BFF3	LI-ITS-R9BFF	taxonomy
ASV_phn_3vp	0	0	0	0	0	0	0	0	0	0	0	Fungi;;;;;;
ASV_pl1_whw	0	0	0	0	0	0	0	0	0	0	0	Fungi;Ascomycota;Eurotiomycetes;Eurotiales;;;
ASV_plw_awi	0	0	0	0	0	0	0	0	0	0	0	Fungi;Basidiomycota;Tremellomycetes;Cystofilobasidiales;Cystofilobasidiaceae;Cystofilobasidium;
ASV_prp_wb5	0	0	0	0	0	0	0	0	0	0	0	Fungi;Ascomycota;Leotiomycetes;Helotiales;Sclerotiniaceae;;
ASV_ptl_usg	0	0	41	0	0	0	0	0	0	0	0	Fungi;Basidiomycota;;;;;
ASV_pv8_xta	0	0	0	0	0	0	0	0	0	0	0	Fungi;Ascomycota;Dothideomycetes;Capnodiales;Mycosphaerellaceae;Zasmidium;
ASV_pwb_dnp	0	0	24	0	0	0	0	0	0	0	0	Fungi;Basidiomycota;Malasseziomycetes;Malasseziales;Malasseziaceae;Malassezia;
ASV_pwg_gcu	0	0	0	0	0	0	0	0	0	0	0	Fungi;Ascomycota;Sordariomycetes;Hypocreales;Cordycipitaceae;Beauveria;
ASV_px8_nej	0	0	0	0	0	0	0	0	0	0	0	Fungi;Ascomycota;;;;;
ASV_pyn_saz	0	0	0	0	0	0	0	0	0	0	0	Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;
ASV_pyu_302	0	0	0	0	0	0	0	0	0	0	0	Fungi;;;;;;
ASV_q0x_k9c	0	0	0	0	0	0	0	0	0	0	0	Fungi;Basidiomycota;;;;;
ASV_q5e_9r9	0	0	0	0	0	0	0	0	0	0	0	Fungi;;;;;;
ASV_q7q_srm	0	0	0	0	0	0	0	0	0	0	0	Fungi;Basidiomycota;;;;;
ASV_qey_eck	0	0	0	0	0	0	0	0	0	0	0	Fungi;Basidiomycota;Ustilaginomycetes;Ustilaginales;Ustilaginaceae;Anthracocystis;
ASV_qg0_2lv	0	0	0	0	0	0	0	0	0	0	0	Fungi;Basidiomycota;Tremellomycetes;Cystofilobasidiales;Cystofilobasidiaceae;Cystofilobasidium;
ASV_qnf_ado	0	0	0	0	0	0	0	0	0	0	0	Fungi;Basidiomycota;;;;;
ASV_qou_88y	0	0	1209	0	0	0	0	0	0	0	0	Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetales_fam_Incertae_sedis;Candida;
ASV_qqs_j5i	0	0	0	0	0	0	0	0	0	0	0	Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetales_fam_Incertae_sedis;Candida;
ASV_qup_b9n	0	0	0	0	0	0	0	0	0	0	0	Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus;
ASV_qvf_z9a	0	0	0	0	0	0	0	0	0	0	0	Fungi;Basidiomycota;;;;;
ASV_qzr_77c	0	0	0	0	0	0	0	0	0	0	0	Fungi;Ascomycota;Sordariomycetes;Hypocreales;Clavicipitaceae;Claviceps;
ASV_r39_z7s	0	0	0	0	0	0	0	0	0	0	0	Fungi;Basidiomycota;Cystobasidiomycetes;Erythrobasidiales;Erythrobasidiaceae;Bannoa;
ASV_r3c_6rj	0	0	0	0	0	0	0	0	0	0	0	Fungi;;;;;;
ASV_r52_czj	0	0	0	0	0	0	0	0	0	0	0	Fungi;Basidiomycota;;;;;
ASV_r84_c0v	0	0	0	0	0	0	0	0	0	0	0	Fungi;Ascomycota;Dothideomycetes;Pleosporales;Massarinaceae;Helminthosporium;
ASV_r9e_2rg	0	0	0	0	0	0	0	0	0	0	0	Fungi;Basidiomycota;Microbotryomycetes;Sporidiobolales;Sporidiobolaceae;Sporobolomyces;
ASV_ra8_zdi	0	0	0	0	0	0	0	0	0	0	0	Fungi;Basidiomycota;Ustilaginomycetes;Ustilaginales;Ustilaginaceae;Moesziomyces;
ASV_rdm_35v	0	0	0	0	0	0	0	0	0	0	0	Fungi;;;;;;
ASV_ri3_0da	0	0	0	19	0	0	0	0	5837	0	0	Fungi;Basidiomycota;;;;;
ASV_rk4_hiz	0	0	0	0	0	0	0	0	0	0	0	Fungi;Ascomycota;;;;;
ASV_rn3_d9p	0	0	0	0	0	0	0	0	0	0	0	Fungi;Basidiomycota;;;;;
ASV_rse_vn9	0	0	0	0	0	0	0	0	0	0	0	Fungi;Basidiomycota;Malasseziomycetes;Malasseziales;Malasseziaceae;Malassezia;
