sample	P103_S145	P104_S151	P105_S104	P108_S112	P13_S98	P24_S106	P26_S114	P29_S121	P30_S128	P32_S134	P36_S140	P37_S146	P39_S99	P41_S107	P45_S115	P46_S122	P49_S129	P52_S135	P53_S141	P54_S147	P55_S100	P57_S108	P58_S116	P59_S123	P61_S130	P62_S136	P64_S142	P65_S148	P67_S101	P68_S109	P69_S117	P70_S124	P73_S131	P74_S137	P75_S143	P79_S149	P80_S102	P81_S110	P82_S118	P84_S125	P85_S132	P86_S138	P87_S144	P89_S150	P90_S103	P91_S111	P92_S119	P93_S126	P95_S133	P96_S139	Fx101_S42	Fx102_S54	Fx103_S65	Fx104_S76	Fx105_S87	Fx106_S10	Fx108_S21	Fx109_S32	Fx110_S43	Fx111_S55	Fx112_S66	Fx113_S77	Fx115_S88	Fx116_S11	Fx117_S22	Fx118_S33	Fx119_S90	FxR27_S44	FxR30_S67	FxR31_S78	FxR32_S89	FxR34_S12	FxR35_S23	FxR36_S34	FxR37_S45	FxR38_S56	FxR40_S68	FxR41_S79
g__OTU_23	0	0	0.0405918004563078	0.421565641181846	0	0.0216466950135292	0	2.46894529743075	1.98688088221314	10.6892342449032	4.98924337437634	0.0235849056603774	0.0818822900304134	0.0302057768548235	0.0979454770177934	0.066022447632195	0.254794153144696	0.0602119460500963	0.0467508181393174	0	2.53586436748298	0	0.076481155399036	0.530365810346869	0.054962419445704	0.0102203209180768	0.365921673717574	0	0	0	0.129398410896708	0.0336096795877213	0.296319646938293	5.3514546612869	0	0.0703178687293241	0	0.00783637645952511	6.94331434770817	0.0257525854240367	0.0073875977009796	3.87907575082876	1.68800040797593	1.34505639351138	0	0	1.11248196399072	0.0232028061746762	0.437406213083873	1.36016134327658	0.00656598818122127	0.0030446961393253	0.652107513744654	0.0054363583647434	0.0143046898947584	0.00863595146595276	0.978177774688998	0.299793475605694	0.0125650239991958	0.00364093135023939	0.0391059771982071	0	0.00310216996789254	0.019778125393315	0.0774372994927067	0	0.00640027307831801	0	0.025040691123075	0.0285921238229576	0.0107227107012653	0	0	0	0	0.00491996851220152	0	0
g__OTU_230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__OTU_231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00694975328375843	0	0	0	0.00300815209216978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__OTU_232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__OTU_233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0096184234029982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0470011239399203	0	0	0	0	0	0	0	0.0791053341812598	0	0	0	0	0.0521421743286695	0	0	0	0	0	0	0	0	0	0
g__OTU_234	0.357396930790339	0.103631680814423	0	0	0	0	0.29673590504451	0.378057248669084	0	0	0	0	0.0133685371478226	0.339814989616764	0	0.0195066322549667	0	0	0.0644838870887137	1.99638475197159	1.78366771614127	0.289412332181044	0	0	0	0	0	0.807177994872861	0	0.426094622392007	0.0612939841089671	1.67208155948914	0	0.493735400297303	0.0364662607813293	0.223738673229668	0	0.00653031371627093	0	0.580110871657246	0.777175278143053	1.5816469579272	3.64883471875159	0	0.145412025724437	1.56452166565446	0	0	0.126113470195715	0.444006691368448	0.0902823374917925	0	0	0	0.00817410851129049	0.00431797573297638	0.163319202168323	0	0.226170431985525	0	0	0	0.00465325495183881	0.260711652911879	0	1.07881279624879	0.03200136539159	0.0195533153732511	0	0	0.346190374069422	0.673255443242128	0.108447937131631	0.0587544065804935	0.806520222558745	0.27879821569142	0.330238872784648	0.447339847991314
g__OTU_235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00694975328375843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__OTU_236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__OTU_237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0672395696667541	0	0
g__OTU_238	18.8573461160609	1.39902769099471	2.92400935011128	0.0353335363996345	0	0	2.58377361221683	1.08479284005864	1.46560192667237	0.437262011040866	2.23371629972079	20.398322851153	0.0250660071521674	0.526083946888176	1.22665049788951	1.17189844547146	1.99961259368528	0.455890448665015	3.84646386484177	0	1.67169448433033	0.992041160865021	1.34998132436903	9.60459334675032	0.365500089313931	0	0.768571545168882	3.02085498510358	0.0230342118662561	0.035263003232442	0.208853575482406	0.403316155052655	0.753408464023958	0.0230055921285482	2.89193302891933	1.02919789685647	0	0.0626910116762009	0	2.54137356158256	1.666642041341	3.79496313888476	0.646386863175072	3.85542890523194	0.721063756427361	1.10242665892107	0.123376759164384	3.19379802639661	0.255419686472335	0.117255288213498	1.53479973736047	0.555657045426866	39.2150274893097	11.7352855900261	5.36017165627874	0	0.639377302105775	8.86500410828096	5.47835046364938	0.018204656751197	3.01416839635412	12.4545655360765	5.56374183741527	0.0341622165884532	1.28008597120597	2.92383751550263	1.20751818744266	0.315025636569045	11.4704251551629	3.12416606305516	3.93676664317882	4.96221142846427	2.0385068762279	5.95377986682334	3.90158411461436	10.6615717659407	1.46038968186989	0
g__OTU_239	0	0	0	0.0889430399025282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__OTU_24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00492449113591596	0	0.0137446548564447	0.0108727167294868	0	0	0.231079296684968	0.0111034620594701	0.0201040383987133	0.0109227940507182	0.00601630418433956	0	0	0	0	0.010193506736209	0	0.0173807247762232	0.00715448317802143	0	0	0.00562609005494815	0	0	0	0.0065599580162687	0.00733864161743661	0.00868621064060804
g__OTU_240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.290514941981957	0	0	0	0	0	0	0	0	0	0	0	0
g__OTU_241	5.54727463667468	0	0	0	0.150699677072121	0.0108233475067646	0	0	0	0	0	0	0	0.00629287017808823	0	0.0195066322549667	0.00745012143697942	3.96882741535921	0	0	0	1.9985529383391	0.00889315760453907	2.16881733159702	0	0.67746127228395	0.359120155618734	0	1.21960090197124	11.0872759330003	5.03291713961408	3.66205467174546	0.00945701000866893	0.0212359311955829	5.30029173008625	1.11709523276813	0	4.10495520204791	0	0.0108431938627523	0.00886511724117551	6.32164003100622	0.0152990973532562	0	0	0.0105621715824774	0	0	0	3.00955239747979	0	0	0	0.192084662220934	1.38959844691938	0	0.149419695600806	0	0.0125650239991958	0	0	0.192782697752877	1.43785578011819	1.36289264073934	0	0	0	0.419309985226384	0.0107317247670321	0	2.0189332434668	0	0	0	0	0.00163998950406717	3.47301214545188	0
g__OTU_242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00820748522652659	0.213128729752771	0.0030543677458766	0.193896781675848	0	0	0	0	0.0100520191993567	0	0	0.224913147378357	0.00310216996789254	0	0	0	0	1.25575736508212	0	0	0	0	0	0	0	0	0	0
g__OTU_243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__OTU_244	0.0254073647481283	14.0497127268848	0	0	1.1194833153929	0	0	0	0	0.0200411755060397	0	0	0	0	0	0	0.0193703157361465	15.9561657032755	0	0	0	1.26215933756733	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0111869336614834	0	0	0.0295879872771655	0.0081323953970642	0	0	0	0.0374458906879559	0.0044972791461166	0.019804071717145	10.4535664247925	6.33573095663805	0.0127709843236167	0	0	0	0.0244349419670128	25.0906059727457	0	0	0	0	0	0	0.0300815209216978	28.1643472498343	0.834483721363094	0	0	0	0	0.121665073433562	0	0	0	0	0	0	0	0	0	0
g__OTU_245	0	0	0	0.756625038074932	0.452099031216362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__OTU_246	0	0	0	0	0	0.0804020100502513	0	0	0	0	0	0	0	0.0138443143917941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.188422247446084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.218876537998531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0172888015717092	0	0	0	0	0
g__OTU_247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00983993702440304	0	0
g__OTU_248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.288384367390802	0	0	0.0749338818689392	0.424517593643587	0	0.476002837103003	0	0	0	0	0	0	0	0.0783085356303837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.176158818663644	0.24192187236277	0	0	0.129315478722499	0	0	0
